department,code,title,credits,description,prerequisites,grading_scheme
Innovation Academy,IDS1359,Innovation in Action,2,"Focuses on execution of creative problem-solving strategies through completion of a design sprint, resulting in an innovative project. Students refine design thinking skills developed in IDS 1940, research and prototype a concept, test and refine the prototype, and complete and present the final project at the “Catalyst” showcase.",,
Innovation Academy,IDS1940,Creativity & Design Thinking for Innovation,2-4,"Focuses on building creative confidence through the design thinking process. Students explore and develop their own creative processes, experience collaborative creative problem solving in multidisciplinary teams, and practice prototyping innovative solutions to problems through sustainable prototyping, laser cutting, 3-D modeling/printing, and Arduino.",,
Innovation Academy,IDS4941,Innovation Academy Internship,1-6,"Experiential learning enables participation in an innovative internship that supplements the degree program. Supervised by a faculty member or designated authority, seven online assignments are required for successful completion.",,
Innovation Academy,IDS4950,Innovation Academy Senior Project,2,"Using lectures, labs and a multidisciplinary team-based project approach, build life skills in creativity and innovation, entrepreneurship and entrepreneurial thinking. Synthesize and demonstrate leadership and ethics through design and development of a team project.",,
Innovation Academy,PHI3681,"Ethics, Data, and Technology",3,"Addresses ethical issues related to data science, algorithmic decision-making, and artificial intelligence. Pairs theoretical discussions of ethics, economics, and policy-making with concrete issues in emerging technologies.",,
Innovation Academy,PHI3641,Ethics and Innovation,3,"Grounding in ethical theory and moral reasoning with a focus on changes at both organizational and societal levels, including, for instance, technological innovations, new business practices and legal changes. Examines the rights and responsibilities of those making such changes as well as the conditions that facilitate responsible decision making. (H, WR4)",,
Turkish | European Studies,TUR1130,Beginning Turkish 1,5,"This course and its sequel, TUR 1131, constitute the introductory sequence in Turkish.",,
Turkish | European Studies,TUR1131,Beginning Turkish 2,5,Second semester of the introductory sequence in Turkish.,,
Turkish | European Studies,TUR1180,Intensive Beginning Turkish,5,"An intensive introduction to Turkish, using the proficiency method. This course is equivalent to, and substitute for, the UF's first-year Turkish sequence (TUR 1130 / TUR 1131).",,
Turkish | European Studies,TUR2220,Intermediate Turkish 1,4,"Intermediate study of speaking, reading, writing and listening comprehension skills with new vocabulary and grammar.",,
Turkish | European Studies,TUR2221,Intermediate Turkish 2,4,"Improves speaking, reading, writing and listening skills by building upon language principles introduced in TUR 2220.",,
Turkish | European Studies,TUR2300,Intensive Intermediate Turkish,5,"Immersive intermediate study of Turkish. Equivalent to, and substitute for, the second-year sequence of TUR 2220 / TUR 2221. Classes meet daily; see the weekly schedule of topics.",,
Zoology,AST2037,Life in the Universe,3,The origin of life on Earth and the possibility of life elsewhere. A multidisciplinary approach is followed. Conditions for life to form and the likelihood that such conditions may exist elsewhere in the universe are discussed. Also considered are schemes proposed for the search for extraterrestrial intelligence (SETI). (P),,
Zoology,BSC3402,Theory and Practice in the Biological Sciences,2,"Presents the scientific method in its many formulations from historical, philosophical, and sociological perspectives. Explores generation and presentation of data, formulation of hypotheses, and theories and dissemination of results. Also examines the ethical implication of biological research.",,
Zoology,GLY3603C,Paleontology,4,"Investigation of the history of life on earth, including aspects of invertebrate and vertebrate paleontology, micropaleontology and paleobotany.",,
Zoology,PCB3063,Genetics,4,"Fundamental properties of inheritance in eukaryotic organisms emphasizing examples in humans. Develops basic concepts for the nature, organization, transmission, expression, recombination, and function of genetic materials, and principles derived for genetically characterizing populations.",,
Zoology,PCB3713C,Cellular and Systems Physiology,4,"How cells, organs, and higher level systems are integrated and coordinated in the functions of humans and other animals. Emphasizes the use of model organisms, mathematical models, and the physical sciences to understand the mechanistic basis of normal physiology and dysfunction.",,
Zoology,PCB4043C,General Ecology,4,Ecological processes and organization in terrestrial and aquatic habitats. Laboratory and field exercises emphasize techniques of ecological analysis.,,
Zoology,PCB4674,Evolution,4,"Processes and mechanisms of evolution, including population genetics, speciation, patterns of evolution and molecular evolution.",,
Zoology,PCB4712,Comparative Biomechanics,3,Reviews physical principles governing the form and function of organisms.,,
Zoology,PCB4723C,Physiology and Molecular Biology of Animals,4,"Processes and mechanisms of maintenance, activity, and integration in animals with emphasis on vertebrates. Laboratory experience in quantitative methods and techniques of physiological investigation.",,
Zoology,ZOO3513C,Animal Behavior,4,"The causes, origins and evolution of animal behavior emphasizing field observations and experiments on the behavior of a variety of animal groups.",,
Zoology,ZOO3603C,Evolutionary Developmental Biology,4,"Analysis of embryonic development, underlying genetic mechanisms and how these processes have driven the evolutionary diversification of animal body plans.",,
Zoology,ZOO3713C,Functional Vertebrate Anatomy,4,The form and function of chordates accompanied by laboratory work dealing with a selected series of chordates.,,
Zoology,ZOO4205C,Invertebrate Biodiversity,4,"Comparative biology of invertebrates, emphasizing morphology, evolution, ecology and life history.",,
Zoology,ZOO4307C,Vertebrate Biodiversity,4,"Comparative biology of vertebrates, emphasizing morphology, evolution, ecology and behavior.",,
Zoology,ZOO4403C,Marine Biology,4,"Survey of major marine taxa, systematics of local marine fauna and flora, with familiarization of the marine environment. Laboratory emphasizes field work and independent projects.",,
Zoology,ZOO4472C,Avian Biology,4,"The basic biological characteristics of birds, which, as exceptionally unique flying vertebrates, are confronted with a spectrum of problems in terms of anatomy, physiology, behavior, migration and population ecology.",,
Zoology,ZOO4905,Individual Studies in Zoology,1-4,Qualified students and the instructor concerned may choose a particular topic or problem for study.,,
Zoology,ZOO4911,Undergraduate Research in Zoology,0-3,"Provides firsthand, supervised research. Projects may involve inquiry, design, investigation, scholarship, discovery, or application.",,
Zoology,ZOO4926,Special Topics in Zoology,1-4,"Lectures, conferences or laboratory sessions covering selected topics of current interest in zoology.",,
Zoology,ZOO4940,Practical Experience in Teaching Zoology,2,"Participation in teaching approved Zoology courses with practical experience in instructional procedures, testing and grading, course and laboratory preparation, and laboratory assistance. Cannot be used to satisfy the minimum credit requirement for Zoology majors.",,
Zoology,ZOO4956,Overseas Studies,1-18,Provides a mechanism by which coursework taken as part of an approved study abroad program can be recorded on the UF transcript and counted toward graduation.,,
Economics,ECO2013,Principles of Macroeconomics,4,"In this course, students will learn the foundations of macroeconomics as the branch of economics concerned with how decision-making, in an environment of scarcity, maps onto the aggregate economy. Students will examine theories and evidence related to the following core set of topics: national income determination, money, monetary and fiscal policy, macroeconomic conditions, international trade and the balance of payments, and economic growth and development.",,
Economics,ECO2023,Principles of Microeconomics,4,"Theories of production, determination of prices and distribution of income in regulated and unregulated industries. Attention is also given to industrial relations, monopolies and comparative economic systems. (S)",,
Economics,ECO2310,Economics of Sustainability,3,"Examines issues of environmental sustainability from an economic perspective. Discusses economic treatment of renewable and nonrenewable resources, land constraints, and global climate change. Identifies potential policy solutions grounded in economic theory.",,
Economics,ECO3101,Intermediate Microeconomics,4,"Nature, scope, and purpose of economic analysis. Examines the theory of consumer behavior, production, costs, firm behavior, and the allocation of resources.",,
Economics,ECO3203,Intermediate Macroeconomics,4,"Theoretical determinants of aggregate employment, income, expenditures and the price level. Keynesian and neoclassical models are analyzed.",,
Economics,ECO3430,Economic Analysis of Data,4,Introduces prominent big economic datasets. Presents common practices for identifying inconsistencies and cleaning data. Describes several data basic visualization tools within various software packages. Incorporates hand-on experience with economic data analysis.,,
Economics,ECO3532,Public Choice,4,"Role of voters, special interests, legislators and the bureaucracy in determining government expenditure, taxation and other economic policies. Economic models of voting and the structure of governments.",,
Economics,ECO3704,International Trade,4,"Theory of international trade and commercial policy. Current issues in international trade, comparative advantage, scale economics, the economics of tariff and non-tariff barriers. International factor movements and multinational firms. Political economy of trade restrictions, strategic trade policy and trade negotiations.",,
Economics,ECO3713,International Macroeconomics,4,"Macroeconomic theory of an open economy. Current monetary issues of the world economy. The international monetary system, exchange rate determination, balance of payments adjustment mechanism, international financial institutions and their policies. Macroeconomic policies and national income determination in an open economy.",,
Economics,ECO4104,Economics of Competitive Strategy,4,"Focuses on identification and analysis of competitive strategies in expanding markets. Draws on strategic management, the economics of technological change and RD investments, and dynamic game theory, to address challenges faced by firms. Examines demand-based network externalities, the dynamics of pricing rivalry, industry evolution, RD strategies entry and exit decisions.",,
Economics,ECO4213,Monetary Economics,4,"An integrated examination of how banks impact the money supply, monetary policy and financial markets. Topics include: the historical features of money; banking and money supply; goals and tools of monetary policy; and banks as financial intermediaries.",,
Economics,ECO4270,Economic Growth,4,Examines global history of economic growth and development. Introduces classical and modern theories of economic growth. Develops mainstream models of exogenous and endogenous growth. Compares insights from these models to real-world data.,,
Economics,ECO4400,Game Theory and Applications,4,"Introduces modern game theory, including the formal theory of Nash equilibrium and solutions techniques. Applications include strategic barriers of entry; cooperative behavior in oligopoly, auctions and bidding strategies; and durable goods sales.",,
Economics,ECO4401,Mathematical Economics,4,"Introduces fundamental mathematical tools employed in economic analysis. Covers comparative static analysis, introduces linear algebra, constrained and unconstrained optimization, and dynamic analysis using differential and difference equations. Examines applications from a wide range of subfields in economics, including consumer theory, macroeconomics, economic growth, and environmental economics.",,
Economics,ECO4421,Econometrics,4,"Introduces concepts and methods used in empirical economic research. Emphasizes practical use of basic econometric techniques to estimate economic relationships and evaluate policy. Covers topics needed to plan and implement empirical projects, and understand potential problems with the empirical analyses of others.",,
Economics,ECO4422,Econometrics 2,4,Introduces advanced concepts and methods employed in empirical economic analysis. Focuses on identification of causality using regression techniques. Examines regression discontinuity and difference-in-differences identification strategies.,,
Economics,ECO4504,Public Economics,4,"Market failures and the role of the government in providing goods and services, like education and infrastructure, in a market economy. The role of the government in the provision of various types of social insurance like health insurance, social security and welfare. The effects of taxes on economic behavior.",,
Economics,ECO4905,Individual Work,1-4,For advanced undergraduate students who need to supplement regular coursework by individual studies under guidance. Counted as a free elective credit only.,,
Economics,ECO4934,Special Topics,1-4,Variable content providing an opportunity for the study in-depth of topics not offered in other courses.,,
Economics,ECO4935,Empirical Research in Economics Seminar,4,"After getting some background in economic empirical methodology, statistics, and statistical software and discussing some representative empirical papers, each economics student develops an empirical model and subjects it to statistical testing, helped by several class presentations.",,
Economics,ECO4941,Internship in Economics,1-3,Applied work in economics. Requires several papers and reports. Counted as a free-elective credit only.,,
Economics,ECO4956,International Studies in Economics,1-4,Provides a mechanism by which coursework taken as part of an approved study abroad program can be recorded on the UF transcript and counted toward graduation.,,
Economics,ECO4970,Honors Thesis,1-4,"A thesis is required for the awarding of the magna cum laude or summa cum laude designations. To qualify, students will normally have completed 90 semester credits of coursework (exceptions may be made by the honors coordinator of the student's major department) and must have at least the grade point average (3.6) required for the magna cum laude designation at the time they enroll. The thesis will be reviewed by at least one faculty member chosen by the honors coordinator for the student's major department. Counted as a free-elective credit only.",,
Economics,ECP3006,Economics of Sports,4,"Examines the business of sports using economic theory as a framework for analysis. Topics covered include the economics of sports leagues, labor negotiations and arbitration, pricing decisions, discrimination, corruption in sports, gambling, sports memorabilia and antitrust policy.",,
Economics,ECP3203,Labor Economics,4,"Determinants of demand for labor and labor supply. Labor market equilibrium and changes in the equilibrium due to changes in unionization, public policies, technology and trade. Study of the effects of skill, job amenities and discrimination on wage differentials.",,
Economics,ECP3302,Environmental Economics and Resource Policy,4,"Relations between environmental quality, resource utilization, and economic institutions and policy. Examines alternative strategies and policies in solving the problems of environmental quality and resource scarcity.",,
Economics,ECP3403,Industrial Organization,4,"Examines the structure of markets and the behavior of firms operating in imperfectly competitive markets. Develops models of imperfectly competitive markets and compares the insights and predictions from each. Investigates firms' strategic profit-maximizing decisions regarding prices, product differentiation, market entry and exit, and product promotion.",,
Economics,ECP3510,Economics of Education,4,"Uses economic concepts to analyze the education system and education policy options. Topics covered include class size, No Child Left Behind legislation, public vs. private schools, and vouchers.",,
Economics,ECP3530,Health Care Economics,4,"Analysis of health care markets, employing efficiency and equity criteria. Evaluation of current health care policies and their effects on cost, access and quality. Topics covered include the production of and demand for health and medical care; information asymmetrics between patients, doctors, and payers; health insurance coverage; the effects of managed care (including HMOs) on competition, efficiency, and quality; training and practice of physicians; hospitals; prescription drug pricing; government regulations; Medicare and Medicaid; health care reform.",,
Economics,ECP3703,Managerial Economics,4,"Analysis of the firm's decisions regarding prices, outputs and inputs, advertising, etc. under various market conditions. Reliance is placed upon both theories and applications.",,
Economics,ECP4423,Government Regulation of Business,4,"The evolution, statutory foundation and methods of governmental regulation. Antitrust regulation of competitive practices.",,
Economics,ECP4451,Law and Economics,4,"Analyzes the interaction between law and economics, and evolution of legal rules; efficiency of alternative rules on pollution and public goods, enforcement of contracts, deterrence of crime, and protection of consumers; and efficiency versus fairness.",,
Economics,ECS3403,Economic Development of Latin America,4,A critical assessment of Latin American political economy and economic development. Topics covered include economic history from the colonial period forward; commodity price cycles and balance of payment fluctuations; import substitution industrialization; international indebtedness; trade liberalization; inflation stabilization policies; poverty eradication difficulties.,,
Economics,ECS4013,Economic Development,4,Examines different theories of economic growth and development of low-income and middle-income countries. Covers microeconomic and macroeconomic models relevant to understanding development and analyzing various policy proposals. Analyzes history and empirical evidence of global economic growth and development.,,
Economics,ECS4110,Africa in the Global Economy,4,"Examines the African continent position globally, looking both at the challenges as well as at the options available to African nations to get a fair and better deal in the global economy. Main topics: international trade and global value chairs; WTO rules and negotiations especially with regard to agriculture; aid to Africa; economic reforms, the World Bank and IMF; the debt crisis; migration and African Diaspora.",,
Economics,ECS4111,African Economic Development,4,"Deals with the most pressing issues facing Sub-Saharan African countries in their quest for socioeconomic development. Although the focus is on contemporary issues and forthcoming challenges, more or less recent historical facts will be reviewed whenever necessary to shed light on the present. Main topics include economic growth, politics and institutions, international trade, agricultural and industrial development, poverty and inequality, access to basic social services, the environment, and gender issues.",,
Agricultural and Biological Engineering,ABE2012C,Introduction to Biological Engineering,3,"Introduces the process of design along with approaches to solving engineering problems, manipulations and presentations of engineering data and applied engineering concepts. (WR)",,
Agricultural and Biological Engineering,ABE2062,Biology for Engineers,3,"Principles and engineering applications of biology. Principles and applications of biochemistry, genetics, microbial systems, animal systems, ecological systems and global systems. (B) (WR)",,
Agricultural and Biological Engineering,ABE3000C,Applications in Biological Engineering,3,"Overview of the research and applications of biological engineering, such as bioprocessing, biotechnology, transport processes, biosensors, bioremediation, biological materials and biomedicine.",,
Agricultural and Biological Engineering,ABE3212C,Land and Water Resources Engineering,4,"Introduces hydrology, flow through porous media, flood routing, grade control structures and erosion control.",,
Agricultural and Biological Engineering,ABE3612C,Heat and Mass Transfer in Biological Systems,4,"Transport phenomena, steady and unsteady-state heat conduction, radiation, free and forced convection, mass transfer, psychometrics and thermodynamics of biological processes.",,
Agricultural and Biological Engineering,ABE3652C,Physical and Rheological Properties of Biological Materials,3,Theory and use of physical and rheological properties of biological materials in agricultural engineering applications.,,
Agricultural and Biological Engineering,ABE4008,Control Methods in SmartAg Systems,3,"Design, analysis, simulation, and programming modern control methods for applications in production agriculture, biological and food engineering, land and water resources. Learn theoretical concepts, application programming, and simulation techniques using classical and modern control approaches, fuzzy logic, neural networks, and other intelligent learning algorithms.",,
Agricultural and Biological Engineering,ABE4033,Fundamentals and Applications of Biosensors,3,"Provides a broad introduction to the field of biosensors, as well as an in-depth and quantitative view of biosensor design and performance analysis. Fundamental application of biosensor theory will be demonstrated, including: recognition, transduction, signal acquisition, and post processing/data analysis.",,
Agricultural and Biological Engineering,ABE4034,"Remote Sensing in Engineering: Science, Sensors and Applications",3,"Develop an understanding of remote sensing theory, systems and applications using information obtained from the visible/near infrared, thermal infrared and microwave regions of the EM spectrum.",,
Agricultural and Biological Engineering,ABE4042C,Biological Engineering Design 1,2,"Design of engineered agricultural and biological systems and devices. Problem definition analysis, synthesis, project management, economic, environmental, and social impacts. Individual and team projects.",,
Agricultural and Biological Engineering,ABE4043C,Biological Engineering Design 2,2,Senior capstone design project.,,
Agricultural and Biological Engineering,ABE4171,Power and Machines for Biological Systems,3,"Design and specification of power and machine elements applied to agricultural, biological and land and water resources or food engineering; fundamentals of power units, design of machine elements and power transmission.",,
Agricultural and Biological Engineering,ABE4231C,Irrigation and Drainage Engineering,4,"Irrigation and drainage systems design, including pump sizing and specification, water distribution systems, plant water requirement, drainage systems and flood control.",,
Agricultural and Biological Engineering,ABE4320,Controlled Environment Agriculture Systems Design,3,"Introduces the engineering design of controlled-environment agriculture systems, including glazing materials selection, fan-sizing for mechanical ventilation, lighting distribution, cooling system design with fan-and-pad evaporative cooling, and heating system design with hot water floor heating.",,
Agricultural and Biological Engineering,ABE4413C,Post-Harvest Operations Engineering,3,Engineering principles and practices of post-harvest operations for the maintenance of quality of agricultural products. Design of systems and facilities.,,
Agricultural and Biological Engineering,ABE4641,Modeling Coupled Natural-Human Systems,3,"Explore approaches to modeling coupled natural-human systems, drawing from both natural and social sciences. Topics include regime shift from dynamical systems and basic concepts from game theory and social-ecological system literature. These are combined in models that operationalize a conceptual framework. With guidance, develop models for final projects.",,
Agricultural and Biological Engineering,ABE4655C,Bio-Based Products from Renewable Resources,3,"Provides the knowledge for the production of fuels, chemicals, and materials from renewable resources; includes the fundamental principles and practical applications of bio-based products: biorefinery and biobased products overview, fundamental concepts in understanding biorefinery and biobased products; materials, chemical platforms, and fuels from biomass.",,
Agricultural and Biological Engineering,ABE4662,Quantification of Biological Processes,3,"Quantitative description and analysis of biological processes pertaining to microbes, plants, animals and ecosystems. Biological transport phenomena, bioenergetics, enzyme kinetics, metabolism, bioregulation, circulatory and muscle systems, agroecosystems. Analytical and experimental laboratory for development of quantitative skills.",,
Agricultural and Biological Engineering,ABE4812,Food and Bioprocess Engineering Unit Operations,4,"Analysis of thermal freezing, evaporation, dehydration, contact equilibrium and mechanical separation processes as governed by the reaction kinetics and rheology of processed foods.",,
Agricultural and Biological Engineering,ABE4905,Individual Study in Biological Engineering,1-4,Selected problems of projects in the student's major field of engineering study.,,
Agricultural and Biological Engineering,ABE4912,Integrated Product and Processing Design 1 in Biological Engineering,3,First part of a two-course sequence in which multidisciplinary teams of engineering and business students partner with industry sponsors to design and build authentic products and processes on time and within budget.,,
Agricultural and Biological Engineering,ABE4913,Integrated Product and Process Design 2 in Biological Engineering,3,Second part of a two-course sequence in which multidisciplinary teams of engineering and business students partner with industry sponsors to design and build authentic products and processes on time and within budget.,,
Agricultural and Biological Engineering,ABE4931,Professional Issues in Agricultural and Biological Engineering,1,"Current developments in agricultural and biological engineering, principles of agricultural and biological engineering practice, and professional standards and ethics.",,
Agricultural and Biological Engineering,ABE4932,Special Topics,1-4,Variable subjects provide content for the study of agricultural engineering topics not offered in other courses.,,
Agricultural and Biological Engineering,ABE4935,Writing Grant Proposals for Scholarships and Fellowships,2,"Introduces seniors in the Agricultural and Biological Engineering department to opportunities for obtaining scholarships, fellowships, internships, and teaching/research assistantships from federal funding agencies; includes funding sources and opportunities, provide guidelines for proposal writing. Requires preparing a proposal.",,
Agricultural and Biological Engineering,ABE4949,Work Experience in Biological Engineering,1-3,Work experience in the biological engineering industry with advisor approval.,,
Agricultural and Biological Engineering,EGN4912,Engineering Directed Independent Research,0-3,"Provides firsthand, supervised research with a faculty advisor or postdoctoral or graduate student mentor. Projects may involve inquiry, design, investigation, scholarship, discovery, or application.",,
African Studies,AFS2002,The African Experience: An Introduction to African Studies,3,"Introductory study of African society and culture that examines the richness, diversity, and time-depth of African civilizations.",,
African Studies,AFS3300,Poverty and Development in Africa,3,"Contemporary study of development issues in Africa, their challenges and possible solutions; theme based and includes economic development, agriculture and the environment, social issues and gender equality, and democracy and political development.",,
African Studies,AFS3352,"Culture, Health and Arts in Sub-Saharan Africa",3,"Explores Sub-Saharan African cultures, health issues and belief systems related to health and the arts. Also provides a framework to better understand health and health care systems in other cultures.",,
African Studies,AFS3800,Childhood in African Literature and Cinema,3,Explores African conceptions of childhood through the mediums of literature and film; examines how childhood is represented in diverse African cultures.,,
African Studies,AFS3930,Special Topics in African Studies,3,Selected variable topics in African Studies.,,
African Studies,AFS4240,The African Family,3,"Understanding African societies south of the Sahara through the study of the functions, roles and meanings of households and families. Emphasizes diversity within and commonalities among the myriad forms of African families.",,
African Studies,AFS4315,Critical Issues in Contemporary Africa,3,"Upper-division seminar that discusses perspectives on conflict resolution, corruption, economic development, environmental management, food security, governance, international assistance, and public health in contemporary Africa. In addition, enhances skills in analysis, discussion, and debate.",,
African Studies,AFS4330,Women and Politics in Africa,3,"Introduces historical and contemporary roles of women in African political systems, from local to national governance.",,
African Studies,AFS4340,Community Conservation and Rural Development in Africa,3,"Examines the practicalities and theoretical foundations of community conservation in Africa, with particular attention on the relationship between conservation and rural development issues. Main themes include property rights, governance, and local-global relations.",,
African Studies,AFS4345,Political Economy of Conservation in Africa,3,"Analyzes effectiveness of diverse approaches to natural resource preservation and uses. Case studies are primarily from southern and eastern Africa, and readings focus on political and economic aspects of conservation strategies.",,
African Studies,AFS4365,Urban Africa Today,3,"Interdisciplinary seminar incorporates scholarship from anthropology, geography, history, political science, sociology, and urban planning to understand African cities, their rapid growth, and their future development.",,
African Studies,AFS4905,Individual Work,1-9,Individual study and research for topics not covered in other courses.,,
African Studies,AFS4911,Undergraduate Research in African Studies,0-3,"Provides firsthand, supervised research. Projects may involve inquiry, design, investigation, scholarship, discovery, or application.",,
African Studies,AFS4935,African Studies Interdisciplinary Seminar,3,Seminar on a selected interdisciplinary theme.,,
African Studies,AFS4940,African Studies Internship,1-3,"Complements an Africa-related internship experience through guided reflection, critical analysis, synthesis, and discussion.",,
"Chinese | Languages, Literatures, and Cultures",CHI1130,Beginning Chinese 1,5,"Beginning study covering four skills: listening, speaking, reading and writing. Materials are designed for learners with no prior exposure to the language. Those with native background or education for four years or more in a Chinese speaking country must take a placement test before enrolling in any Chinese language class.",,
"Chinese | Languages, Literatures, and Cultures",CHI1131,Beginning Chinese 2,5,Continued study of the four skills with additional vocabulary and grammar.,,
"Chinese | Languages, Literatures, and Cultures",CHI2230,Intermediate Chinese 1,5,Intermediate study of the four skills with new vocabulary and grammar.,,
"Chinese | Languages, Literatures, and Cultures",CHI2231,Intermediate Chinese 2,5,Continuation of intermediate study of the four skills with new vocabulary and grammar.,,
"Chinese | Languages, Literatures, and Cultures",CHI2340,Chinese for Heritage Learners 1,4,"For those with significant bilingual speaking and listening backgrounds. Emphasis is on recognition of the characters and writing, and pronunciation and speaking.",,
"Chinese | Languages, Literatures, and Cultures",CHI2341,Chinese for Heritage Learners 2,4,"To consolidate the foundation built in Chinese for Heritage Learners 1, to expand vocabulary and to introduce more complex grammatical structures. Emphasis is on reading and writing. Those who successfully complete CHI 2341 are eligible for CHI 3410.",,
"Chinese | Languages, Literatures, and Cultures",CHI3403,Chinese Calligraphy,3,"Introductory study of the origin, composition, development, variations and aesthetic styles of Chinese characters with laboratory sessions for appreciating and practicing calligraphic skills. (H and N)",,
"Chinese | Languages, Literatures, and Cultures",CHI3410,Advanced Chinese 1,3,Advanced study of the four skills with attention to more complex structures. (S and N),,
"Chinese | Languages, Literatures, and Cultures",CHI3411,Advanced Chinese 2,3,Continuation of advanced study of the four skills with attention to more complex structures.,,
"Chinese | Languages, Literatures, and Cultures",CHI3440,Business Chinese,3,"Development of language skills and protocol issues used in Chinese business environments. Acquire vocabulary, phrases, and sentence patterns essential for business transactions and develop oral presentations, business cards, and resumes.",,
"Chinese | Languages, Literatures, and Cultures",CHI4050,Fourth Year Chinese 1,3,"Introduces and analyzes the documentary prose style used in Chinese newspapers and media. By studying a variety of short texts students develop skill in listening, speaking, reading and writing about issues commonly encountered in Chinese newspaper editorials and in television news programs, debate roundtables, or TV documentaries.",,
"Chinese | Languages, Literatures, and Cultures",CHI4051,Fourth Year Chinese 2,3,Solidifies and improves students' knowledge of advanced Chinese through literature as a continuation of CHI 4050. Emphasizes formulating strategies to learn the difference between written language and spoken language and approaches meaningful writing with an eye toward careful examination of authentic writing samples.,,
"Chinese | Languages, Literatures, and Cultures",CHI4850,Structure of Chinese,3,"Introduction to phonological, grammatical and discourse structures of Mandarin Chinese, with an emphasis on its contrastive aspects with the English language. (S and N)",,
"Chinese | Languages, Literatures, and Cultures",CHI4905,Individual Study,1-5,For those who seek independent work not offered in another course. Includes all individual study courses offered by the Chinese section.,,
"Chinese | Languages, Literatures, and Cultures",CHI4911,Undergraduate Research in Language or Linguistics,0-3,"Provides firsthand, supervised research in Language or Linguistics. Projects may involve inquiry, design, investigation, scholarship, discovery or application in Language or Linguistics.",,
"Chinese | Languages, Literatures, and Cultures",CHI4930,Special Topics in Chinese Studies,3,Variable topics dealing with specific issues in Chinese studies.,,
"Chinese | Languages, Literatures, and Cultures",CHI4935,Senior Thesis,3,Select a Chinese faculty member to act as director for an independent research project that culminates in the preparation of an honors thesis.,,
"Chinese | Languages, Literatures, and Cultures",CHI4940,Internship,1-6,Gain practical experience that enhances classroom learning.,,
"Chinese | Languages, Literatures, and Cultures",CHI4956,Overseas Studies,1-18,,,
"Chinese | Languages, Literatures, and Cultures",CHT3101,Translation Method: Chinese to English,3,"Hands-on introduction to the processes, procedures, and cultural and linguistic challenges relevant to translation from Chinese to English. Development of basic translation skills including strategies on word level, sentence level, and text level. Acquisition of lexicon, structure, and style used in various fields (legal, business, medical) and hands-on experience in translating real-life documents.",,
"Chinese | Languages, Literatures, and Cultures",CHT3110,Chinese Literary Heritage,3,"Introduces pre-modern Chinese literature in translation. Topics chosen from classical poetry, short stories, novels, and drama. Emphasizes the interplay between orthodox values and the folk tradition. All readings are in English.",,
"Chinese | Languages, Literatures, and Cultures",CHT3123,Pre-Modern Chinese Fiction in Translation,3,Pre-modern Chinese narrative from its philosophical and historical origins to the fiction at the turn of the 20th century. Emphasizes the 16th and 17th centuries when Chinese vernacular fiction flourished.,,
"Chinese | Languages, Literatures, and Cultures",CHT3124,Modern Chinese Fiction in Translation,3,"Surveys modern Chinese fiction in translation. Samples are from the early 20th century through the contemporary era and include writers of the early Republic, the P.R.C., and Taiwan. Focuses on fiction as a vehicle for social change. All readings are in English.",,
"Chinese | Languages, Literatures, and Cultures",CHT3302,Tales of the Strange in Medieval Chinese Literature,3,"Introduces traditional Chinese tales of the strange and primary sources that contributed to their development. Also covers cross-cultural literary theories of the fantastic and uncanny; interdisciplinary literary, discourse, and narrative theories; and three common medieval Chinese worldviews.",,
"Chinese | Languages, Literatures, and Cultures",CHT3391,Chinese Film and Media,3,"Examination of Chinese cinema and other forms of media, such as television, music, and print culture in a broad sociopolitical and historical context. An interdisciplinary approach with a diversity of readings and multimedia tools incorporated into discussions.",,
"Chinese | Languages, Literatures, and Cultures",CHT3500,Chinese Culture,3,"Introduction to Chinese culture with emphasis on its philosophy, language, society, art, and people as a whole. All readings are in English.",,
"Chinese | Languages, Literatures, and Cultures",CHT3511,Chinese Martial Arts Fiction,3,"Overview of Chinese martial arts fiction from earliest times to the present day. Discusses the literary pleasure of watching violence, the relationship between violence and the law, gender ambiguity of woman warriors, the imperial and (trans)national order of martial arts narrative, and the moral and physical economy of vengeance.",,
"Chinese | Languages, Literatures, and Cultures",CHT3513,Taoism and Chinese Culture,3,"Introduction to the general history and culture of Taoism in ancient and modern China: its thoughts, belief systems, cultural influences, practices, and rituals.",,
"Chinese | Languages, Literatures, and Cultures",CHT3523,"Hong Kong, Taiwan, and the New Global Cinema",4,"Overview of Sinophone film in Hong Kong, Taiwan, and the broader sphere of Chinese diaspora. Addresses film history, culture, and aesthetics.",,
"Chinese | Languages, Literatures, and Cultures",CHT4111,Dream of the Red Chamber,3,"Explores the intellectual and social life of traditional China through the 18th century epic novel, Story of the Stone. Also studies interpretive theories of the novel, both Chinese and Western. All readings are in English.",,
"Chinese | Languages, Literatures, and Cultures",CHT4603,Journey to the West,3,"Exploration of traditional Chinese religious culture, cultural history and literacy expression through a 100 chapter novel known as Journey to the West, or Monkey.",,
"Chinese | Languages, Literatures, and Cultures",CHT4911,Undergraduate Research in English Translation,0-3,"Provides firsthand, supervised research in English Translation. Projects may involve inquiry, design, investigation, scholarship, discovery or application in English Translation.",,
"Chinese | Languages, Literatures, and Cultures",CHW4120,Classical Chinese 1,3,"Introduction to classical Chinese prose with texts drawn mainly from early histories and philosophical writings (500 BC - AD 100). Emphasis on reading comprehension, grammar analysis and translation.",,
